The error in the VIE for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |        |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule             | ref    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Acrylonitrile        |  11.12 |           0.59           3.34           3.34 |           0.38           3.14           3.04 |           0.54           3.33           1.77 |           1.64           4.50           1.64 |           0.41           3.17           3.17 |           0.22           3.00           0.45
CCl4                 |  11.77 |          -0.32           3.72           3.82 |           0.73           3.15           3.04 |           0.19           2.68           1.37 |           0.60           3.35          -0.14 |           0.65           3.04           3.04 |           0.26           2.68           0.47
NCCCCN               |  12.04 |           0.82           3.48           3.48 |           0.46           3.14           3.10 |           0.45           3.15           1.64 |           1.45           4.20           1.45 |           0.46           3.13           3.13 |           0.24           2.93           0.46
Pyrimidine           |   9.81 |           0.71           3.01           3.01 |           0.22           2.49           2.41 |          -0.07           2.19           0.76 |           0.40           2.62           0.40 |           0.23           2.49           2.49 |           0.01           2.27           0.21
Cyclopropane         |  10.92 |           0.36           3.07           3.07 |           0.15           2.85           2.82 |           0.28           2.97           1.41 |           1.25           3.90           1.25 |           0.20           2.88           2.88 |           0.08           2.76           0.31
HCCCCH               |  10.29 |           0.57           3.04           3.04 |           0.34           2.79           2.72 |           0.46           2.89           1.59 |           1.41           3.82           1.41 |           0.36           2.79           2.79 |           0.20           2.63           0.41
Methyl_prop-2-enoate |  10.57 |           0.79           3.05           2.90 |           0.34           1.92           2.54 |           0.27           2.85           1.08 |           0.78           3.06           1.38 |           0.35           2.69           2.66 |           0.14           2.55           0.34
Chloroethene         |  10.21 |           0.51           3.22           3.22 |           0.27           2.97           2.87 |           0.35           3.06           1.61 |           1.25           4.04           1.25 |           0.29           2.98           2.98 |           0.14           2.83           0.38
2-Propenamide        |   9.98 |           0.12           2.88           2.88 |           0.21           2.46           2.40 |           0.41           2.62           0.91 |           1.67           3.85           1.67 |           0.30           2.53           2.50 |           0.12           2.37           0.34
Pyrazine             |   9.70 |           0.77           3.10           3.10 |           0.21           2.52           2.47 |          -0.23           2.08           0.88 |          -0.28           2.01          -0.28 |           0.21           2.51           2.51 |          -0.01           2.30           0.24
Cyclopropene         |  10.01 |           0.46           3.21           3.21 |           0.28           3.02           2.97 |           0.47           3.21           1.77 |           1.53           4.27           1.53 |           0.34           3.07           3.07 |           0.21           2.94           0.50
CH3NHCH3             |   9.07 |           0.39           2.91           2.91 |           0.17           2.68           2.64 |           0.30           2.82           1.19 |           1.36           3.89           1.36 |           0.26           2.76           2.76 |           0.14           2.64           0.41
CH3SH                |   9.46 |           0.27           3.10           3.10 |           0.06           2.89           2.74 |           0.19           3.02           1.48 |           1.14           3.96           1.14 |           0.12           2.94           2.86 |           0.04           2.85           0.34
PH3                  |  10.53 |           0.18           3.35           3.35 |           0.01           3.18           2.96 |           0.17           3.34           1.73 |           1.14           4.30           1.14 |           0.12           3.28           3.11 |           0.09           3.24           0.44
