The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule               | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CCl4                   |          -0.43          -0.08          -0.09 |          -0.37           0.02          -0.00 |          -0.19           0.21          -0.00 |           0.26           0.71           0.11 |          -0.40          -0.02          -0.02 |          -0.03           0.36          -0.00
NCCCCN                 |          -0.51          -0.12          -0.12 |          -0.38           0.01          -0.00 |          -0.18           0.22          -0.00 |           0.23           0.64           0.23 |          -0.41          -0.02          -0.02 |          -0.03           0.36          -0.00
Pyrimidine             |          -0.54          -0.13          -0.13 |          -0.39           0.02          -0.00 |          -0.15           0.25          -0.00 |           0.22           0.60           0.22 |          -0.42          -0.01          -0.01 |          -0.03           0.37           0.00
Cyclopropane           |          -0.61          -0.16          -0.16 |          -0.44           0.00           0.00 |          -0.19           0.26          -0.00 |           0.27           0.72           0.27 |          -0.46          -0.01          -0.01 |          -0.04           0.41          -0.00
HCCCCH                 |          -0.55          -0.13          -0.13 |          -0.41           0.01          -0.00 |          -0.20           0.23          -0.00 |           0.20           0.63           0.20 |          -0.44          -0.01          -0.01 |          -0.04           0.39           0.00
Methyl_prop-2-enoate   |          -0.55          -0.14          -0.09 |          -0.39          -0.05           0.00 |          -0.18           0.25          -0.00 |           0.28           0.70           0.25 |          -0.42           0.00           0.00 |          -0.04           0.42          -0.00
Chloroethene           |          -0.57          -0.13          -0.13 |          -0.43           0.02          -0.00 |          -0.21           0.24          -0.00 |           0.20           0.66           0.20 |          -0.45          -0.00          -0.00 |          -0.04           0.41           0.00
2-Propenamide          |          -0.51          -0.15          -0.15 |          -0.42           0.01          -0.00 |          -0.09           0.32          -0.00 |           0.43           0.84           0.43 |          -0.43           0.01           0.00 |          -0.04           0.39          -0.00
Pyrazine               |          -0.53          -0.13          -0.13 |          -0.39           0.01          -0.00 |          -0.18           0.20           0.00 |           0.09           0.47           0.09 |          -0.42          -0.02          -0.02 |          -0.04           0.36          -0.00
Cyclopropene           |          -0.60          -0.14          -0.14 |          -0.45           0.01          -0.00 |          -0.22           0.24          -0.00 |           0.20           0.67           0.20 |          -0.47          -0.01          -0.01 |          -0.05           0.41          -0.00
CH3NHCH3               |          -0.61          -0.17          -0.17 |          -0.44           0.01           0.00 |          -0.16           0.29          -0.00 |           0.37           0.82           0.37 |          -0.45          -0.00          -0.00 |          -0.05           0.40          -0.00
CH3SH                  |          -0.62          -0.13          -0.13 |          -0.47           0.03           0.00 |          -0.22           0.27          -0.00 |           0.22           0.72           0.22 |          -0.48           0.01           0.00 |          -0.05           0.44           0.00
PH3                    |          -0.64          -0.12          -0.12 |          -0.48           0.04           0.00 |          -0.25           0.26          -0.00 |           0.18           0.69           0.18 |          -0.49           0.03           0.00 |          -0.06           0.46          -0.00
H2CS                   |          -0.63          -0.13          -0.13 |          -0.47           0.03           0.00 |          -0.22           0.28          -0.00 |           0.22           0.72           0.22 |          -0.48           0.02           0.00 |          -0.06           0.44          -0.00
2-Propenoic_acid       |          -0.56          -0.12          -0.12 |          -0.41          -0.00          -0.00 |          -0.15           0.28          -0.00 |           0.36           0.79           0.24 |          -0.43          -0.01          -0.01 |          -0.06           0.38           0.00
Acrolein               |          -0.63          -0.18          -0.18 |          -0.43           0.02           0.00 |          -0.10           0.34          -0.00 |           0.43           0.85           0.43 |          -0.44           0.01           0.00 |          -0.05           0.40          -0.00
CH3CH2CH3              |          -0.55          -0.13          -0.13 |          -0.42           0.00          -0.00 |          -0.21           0.22           0.00 |           0.19           0.65           0.19 |          -0.45          -0.03          -0.03 |          -0.05           0.38          -0.00
CH3CCH                 |          -0.62          -0.16          -0.16 |          -0.47           0.00          -0.00 |          -0.22           0.26          -0.00 |           0.23           0.71           0.23 |          -0.48          -0.01          -0.01 |          -0.06           0.41           0.00
C3O2                   |          -0.58          -0.15          -0.15 |          -0.43           0.00           0.00 |          -0.19           0.24          -0.00 |           0.27           0.69           0.27 |          -0.45          -0.01          -0.01 |          -0.05           0.39           0.00
CFCl3                  |          -0.52          -0.11          -0.11 |          -0.40           0.01          -0.00 |          -0.21           0.20          -0.00 |           0.13           0.54           0.13 |          -0.43          -0.02          -0.02 |          -0.05           0.35          -0.00
S2                     |          -0.59          -0.12          -0.12 |          -0.45           0.03           0.00 |          -0.23           0.25           0.00 |           0.16           0.64           0.16 |          -0.48           0.00           0.00 |          -0.06           0.42          -0.00
AlCl3                  |          -0.48          -0.09          -0.09 |          -0.37           0.02          -0.00 |          -0.19           0.19          -0.00 |           0.12           0.50           0.12 |          -0.40          -0.01          -0.01 |          -0.05           0.33           0.00
HCCCHO                 |          -0.63          -0.19          -0.19 |          -0.44           0.01           0.00 |          -0.09           0.35          -0.00 |           0.44           0.88           0.44 |          -0.45           0.01           0.00 |          -0.06           0.40          -0.00
