The error in the VIE for each molecule in the McKenchie test set of 147 small molecules when varying a range-separated hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table. The mean and standard deviation of the optimal mixing parameter are also reported.
------------------------------------------------------------------------------------------------------------------------
                     |                |                omega                         |                opt            
P2                   |          10.58 |           0.02          -0.35          -0.65 |          -0.50           0.47 
FCN                  |          13.61 |           0.24           0.10           0.06 |           0.03           0.47 
HCl                  |          12.68 |          -0.09          -0.15          -0.13 |          -0.16           0.47 
NNO                  |          12.92 |          -0.01          -0.05           0.15 |          -0.05           0.48 
NF3                  |          13.60 |           0.66           0.27          -0.79 |          -0.17           0.48 
ClF3                 |          12.86 |           0.85           0.19          -1.49 |          -0.50           0.48 
HOCl                 |          11.22 |           0.29          -0.03          -0.78 |          -0.37           0.48 
CO2                  |          13.81 |           0.13          -0.08          -0.27 |          -0.27           0.49 
ClF                  |          12.72 |           0.25          -0.03          -0.62 |          -0.33           0.50 
H2O                  |          12.69 |          -0.12          -0.16           0.17 |          -0.10           0.50 
H2O2                 |          11.62 |           0.35           0.06          -0.82 |          -0.35           0.51 
NH                   |          13.44 |          -0.36          -0.46          -0.44 |          -0.49           0.51 
CH3F                 |          13.44 |           0.77           0.44          -0.39 |           0.01           0.52 
F2O                  |          13.24 |           0.62           0.16          -1.05 |          -0.49           0.52 
CHF3                 |          14.95 |           1.25           0.67          -0.99 |          -0.13           0.53 
CH2F2                |          13.45 |           1.06           0.58          -0.87 |          -0.13           0.53 
HCO                  |           9.18 |          -0.26          -0.44          -1.11 |          -0.75           0.53 
SF6                  |          15.76 |           2.02           0.96          -1.93 |          -0.53           0.53 
O3                   |          12.80 |           0.25          -0.19          -1.54 |          -0.87           0.54 
NO2                  |          11.00 |          -0.05          -0.47          -1.90 |          -1.16           0.54 
SiF4                 |          16.58 |           2.13           1.08          -0.72 |          -0.35           0.56 
CF4                  |          16.45 |           1.92           1.06          -0.92 |          -0.35           0.57 
N2                   |          15.55 |           0.16          -0.26          -1.17 |          -0.85           0.57 
NH2                  |          12.03 |          -0.89          -0.96          -0.86 |          -0.96           0.58 
O2                   |          12.27 |          -0.24          -0.51          -1.76 |          -1.13           0.58 
NO                   |           9.54 |          -0.31          -0.53          -1.41 |          -1.03           0.61 
BF3                  |          16.04 |           1.55           0.76          -1.44 |          -0.65           0.62 
HF                   |          16.17 |          -0.20          -0.26           0.01 |          -0.19           0.62 
F2                   |          15.76 |           0.41           0.06          -1.43 |          -0.98           0.69 
ClO                  |          10.95 |          -1.37          -1.74          -3.05 |          -3.00           0.94 
C2H4                 |          10.69 |           0.04          -2.16          -3.07 |          -3.07           1.00 
C2N2                 |          13.58 |           0.48          -1.35          -2.86 |          -2.86           1.00 
OH                   |          12.98 |          -1.12          -3.54          -3.45 |          -3.45           1.00 
------------------------------------------------------------------------------------------------------------------------
